City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,illizi,26.4833,8.4667,40.89,16,0,7.96,DZ,1691352341
300,nuku'alofa,-21.1333,-175.2,22.19,88,100,5.14,TO,1691352341
301,sibiti,-3.6819,13.3499,23.16,55,22,1.67,CG,1691352341
302,ta`u,-14.2336,-169.5144,26.93,77,39,4.06,AS,1691352342
303,port elizabeth,-33.918,25.5701,15.16,88,75,5.14,ZA,1691352343
304,mount isa,-20.7333,139.5,12.87,50,0,3.09,AU,1691352343
305,seguela,7.9611,-6.6731,22.93,90,97,1.6,CI,1691352344
306,black forest,39.0131,-104.7008,18.94,75,100,2.57,US,1691352344
307,st. john's,47.5649,-52.7093,16.55,94,100,8.23,CA,1691352054
308,singaraja,-8.112,115.0882,24.01,82,19,2.26,ID,1691352345
309,itoman,26.1247,127.6694,27.01,94,20,13.38,JP,1691352345
310,san mariano,7.5,126.0,22.81,86,100,1.24,PH,1691352345
311,gorontalo,0.5412,123.0595,23.69,93,31,1.7,ID,1691352227
312,north bend,43.4065,-124.2243,26.25,78,100,5.14,US,1691352310
313,lihue,21.9789,-159.3672,28.77,69,40,4.12,US,1691352346
314,carrigaline,51.8117,-8.3986,15.86,67,40,5.66,IE,1691352347
315,port augusta,-32.5,137.7667,5.37,78,8,1.79,AU,1691352347
316,siwa oasis,29.2041,25.5195,35.91,26,0,4.69,EG,1691352348
317,pacific grove,36.6177,-121.9166,30.36,85,0,4.92,US,1691352348
318,albertina,-22.2008,-46.6158,25.69,27,0,2.5,BR,1691352091
319,debipur,24.2333,88.6333,26.4,93,100,5.11,IN,1691352349
320,oodweyne,9.4092,45.064,24.53,51,100,3.82,SO,1691352349
321,salekhard,66.53,66.6019,18.87,58,0,1.27,RU,1691352350
322,toamasina,-18.1667,49.3833,19.0,100,75,5.14,MG,1691352350
323,deridder,30.8463,-93.289,37.21,46,40,0.0,US,1691352241
324,shyryayeve,47.3805,30.1964,24.73,66,2,5.29,UA,1691352351
325,yuci,37.6803,112.7319,24.86,73,0,4.0,CN,1691352351
326,port douglas,-16.4833,145.4667,19.32,82,41,5.76,AU,1691352352
327,chonchi,-42.6128,-73.8092,11.18,73,70,1.47,CL,1691352352
328,konstantinovskoye,45.2992,42.6367,27.94,36,0,6.16,RU,1691352353
329,buchanan,5.8808,-10.0467,24.74,82,46,3.22,LR,1691352353
330,sorong,-0.8833,131.25,25.93,83,99,7.42,ID,1691352353
331,kirillov,59.863,38.3813,19.97,86,0,2.2,RU,1691352354
332,bouarfa,32.53,-1.95,33.89,12,32,2.64,MA,1691352354
333,vernon,50.2581,-119.2691,31.53,34,57,1.03,CA,1691352124
334,bucak,37.4592,30.595,24.29,94,3,0.69,TR,1691352355
335,lagoa formosa,-18.7786,-46.4075,28.34,20,0,3.75,BR,1691352146
336,plonsk,52.6235,20.3755,18.02,84,100,6.74,PL,1691352355
337,gulnar,36.3415,33.3992,21.23,50,0,0.6,TR,1691352356
338,acapulco de juarez,16.8634,-99.8901,31.9,70,20,2.57,MX,1691352356
339,okakarara,-20.5833,17.4333,13.06,24,0,3.44,NA,1691352357
340,kruisfontein,-34.0033,24.7314,11.6,82,98,3.39,ZA,1691352357
341,boda,4.3189,17.4695,21.72,96,100,1.19,CF,1691352357
342,sangmelima,2.9333,11.9833,20.2,98,100,1.47,CM,1691352358
343,nampula,-15.1165,39.2666,17.95,88,14,1.68,MZ,1691352329
344,polyarnyy,69.1989,33.4478,12.07,77,2,4.01,RU,1691352358
345,broome,42.2506,-75.833,30.39,52,75,2.57,US,1691352359
346,tateyama,34.9833,139.8667,25.92,88,24,2.55,JP,1691352359
347,jinzhou,41.1078,121.1417,17.88,87,73,2.83,CN,1691352360
348,amursk,50.2261,136.8994,12.76,72,0,1.15,RU,1691352360
349,laguna,38.421,-121.4238,38.16,28,0,6.17,US,1691352360
350,hilo,19.7297,-155.09,29.04,83,100,3.6,US,1691352357
351,mirnyy,62.5353,113.9611,15.69,72,100,3.13,RU,1691352361
352,la sarre,48.8002,-79.1996,23.89,39,100,1.62,CA,1691352209
353,queenstown,-31.8976,26.8753,13.4,33,3,3.21,ZA,1691352362
354,kankan,10.3854,-9.3057,24.86,83,100,2.14,GN,1691352362
355,englewood,39.6478,-104.9878,21.06,63,100,2.06,US,1691352169
356,antsiranana,-12.2787,49.2917,22.46,75,8,8.08,MG,1691352363
357,karratha,-20.7377,116.8463,21.53,47,52,3.99,AU,1691352364
358,kartaly,53.0522,60.6467,16.12,90,97,3.13,RU,1691352364
359,gaigeturi,33.4644,126.3183,28.03,89,75,5.14,KR,1691352365
360,shimoda,34.6667,138.95,24.5,88,80,1.48,JP,1691352365
361,gobabis,-22.45,18.9667,13.28,23,0,5.03,NA,1691352366
362,boa esperanca,-21.09,-45.5658,27.17,25,0,2.58,BR,1691352147
